# CS2 抽奖模拟器 · 游戏大题库
# 格式：分类|题干|选项A|选项B|选项C|选项D|正确序号(0-3)|解析
# 以 # 开头的行会被忽略；每行一道题；字段内不可含竖线。

爱上火车|《爱上火车》中让铁路发展停滞、大量线路被废的世界观设定被称为什么|大萧条|大废线|大改轨|大停电|1|世界观核心是铁路发展停滞的「大废线」，铁路在各地濒临消亡。
爱上火车|《爱上火车》中，少女姿态的人型模块「铁路人偶」的正式称呼是什么|铁路人偶（铁路人偶）|自动人偶|铁道人形|机关人偶|0|铁路人偶（铁路人偶）是与特定车辆配对的少女型人型模块。
爱上火车|《爱上火车》中，主角右田双铁在御一夜铁路担任什么职务|御一夜铁路的社长|8620号蒸汽机车的正司机|车辆检修厂的厂长|御一夜市的市长|1|官方角色页标明右田双铁是御一夜铁路8620正司机。
爱上火车|《爱上火车》中，铁路人偶八六是专门为何种车辆制造的铁路人偶|御一夜铁路Kiha07s|帝国铁路KuHa26型电车|前帝国铁路8620型蒸汽机车|前帝国铁路C57 145|2|八六是前帝国铁路8620型蒸汽机车8620号的专用铁路人偶，司机为右田双铁。
爱上火车|《爱上火车》中，铁路人偶玲奈是御一夜铁路哪种车辆的专用铁路人偶|Kiha07s|8620型蒸汽机车|KuHa26型电车|C57 145|0|玲奈是御一夜铁路 Kiha07s 的专用铁路人偶。
爱上火车|《爱上火车》中，铁路人偶奥莉薇转属御一夜之前隶属于哪家铁路公司|御一夜铁路|肥飒橘铁路|帝国铁路|广岛毛利电铁|1|奥莉薇原属肥飒橘铁路，担当九号机车乘务，后转属御一夜。
爱上火车|《爱上火车》中，御一夜铁路的社长同时身兼什么职务|御一夜市议会议长|右田一酿酒厂的掌窖|御一夜市市长|隈元银行御一夜支行行长|2|雏衣波莱特既是御一夜铁路社长，也是御一夜市市长。
爱上火车|《爱上火车》中，右田真暗在御一夜经营着什么产业|隈河漂流|赤井阿苏神社|隈元银行御一夜支行|右田一酿酒厂|3|右田真暗是御一夜名门右田一酿酒厂的掌窖，日日姬的姐姐、双铁的继姐。
爱上火车|右田日日姬在《爱上火车》的故事中的创作身份是什么|以铁路车辆为主的车辆设计师|御一夜铁路的司机|隈河漂流的经营者|赤井阿苏神社的宫司|0|日日姬是有才能的新人设计师，长大后成为日本首屈一指的车辆设计师。
爱上火车|《爱上火车》中，宝生稀咲在御一夜担任什么职务|御一夜铁路的副社长|隈元银行御一夜支行的支行长|赤井阿苏神社的宫司|御一夜市的观光课长|1|宝生稀咲是隈元银行御一夜支行的年轻支行长，是日日姬可靠的前辈。
爱上火车|《爱上火车》中，在《Last Run!!》追加的仲国路线中，在仲国国铁为双铁一行人担任向导的铁路人偶叫什么名字|二六|奥莉薇|西瓜|美玖路|2|西瓜是仲国国铁东富4型2000的专用铁路人偶，讲一口熟练日语并担任向导。
千恋万花|《千恋＊万花》的主人公（男主角）姓名是？|鞍马廉太郎|有地将臣|朝武安晴|鞍马玄十郎|1|主人公为有地将臣。
千恋万花|《千恋＊万花》中，主人公被女主角们戏称的绰号是什么？|小马|小竹|小正|乔|0|主人公被女主角们戏称为「小马」，本名为有地将臣。
千恋万花|《千恋＊万花》中，主人公在穗织的观光地做了什么，因而被要求「负起责任」？|打碎了神社的御神镜|弄丢了祭典的神舆|折断了岩石中的传说神刀「丛雨丸」|烧毁了旅馆的帐场|2|主人公折断了岩石中的传说神刀「丛雨丸」，因此被要求负起责任，并与巫女姬芳乃缔结婚约。
千恋万花|《千恋＊万花》的舞台是哪个深山温泉小镇？|湯乃里|星见町|观音崎|穗织|3|舞台是深山温泉小镇穗织，是不通铁路的观光温泉街。
千恋万花|《千恋＊万花》中，关于丛雨，下列描述正确的是？|神刀「丛雨丸」的管理者，是存在数百年的魂灵，普通人看不见|穗织神社的神主，芳乃的父亲|在穗织町开诊所的女医生|主人公的表妹，在甘味处打工|0|丛雨是神刀「丛雨丸」的管理者，是存在数百年的魂灵，普通人看不见，怕幽灵，第一人称「吾辈」，由佐藤蜜柑配音。
千恋万花|《千恋＊万花》中，主人公的表妹、比他低一年级并在甘味处打工的角色是？|马庭芦花|鞍马小春|驹川美津叶|常陆茉子|1|鞍马小春是主人公的表妹，比他低一年级，在甘味处打工；马庭芦花则是主人公从小一起玩的年长姐姐，经营自家甘味处。
Riddle Joker|《RIDDLE JOKER》世界观中，过去的「超能力」因 20 世纪末发现某种粒子而改称为什么？其使用者又称为什么？|灵力，使用者称灵能力者|量子能力，使用者称量子使|星尘能力，使用者称星尘使|星幽能力，使用者称星幽使|3|因 20 世纪末发现某种粒子，能力改称「星幽能力」，使用者称「星幽使」。
Riddle Joker|《RIDDLE JOKER》中，主人公在原晓的真实身份是什么？|橘花学院的理事长|使用星幽能力的秘密组织特工，与妹妹七海一同潜入学院执行任务|专门研究星幽能力的学院教师|只想过普通生活的普通学生，没有其他身份|1|在原晓表层身份是普通学生，真实身份是使用星幽能力的秘密组织特工，与义妹七海一同潜入星幽使云集的学院执行任务。
Riddle Joker|《RIDDLE JOKER》中，关于在原七海，下列叙述何者正确？|主人公的亲妹妹，与秘密组织无关|橘花学院的理事长，掌管整所学院|主人公没有血缘关系的义妹，同时是组织的支援要员兼搭档|主人公的同班同学，喜欢时代剧|2|七海是主人公的无血缘义妹，同时担任组织的支援要员与搭档，家务万能且有点中二病；喜欢时代剧的是二条院羽月。
Riddle Joker|《RIDDLE JOKER》中，三司绫濑隐藏的秘密是什么？|她对外公布的 E 罩杯其实是垫出来的|她其实是秘密组织派来的特工|她其实是橘花学院的理事长|她成绩很差，全靠作弊升学|0|绫濑对外公布的 E 罩杯是垫出来的，这一秘密在剧情中与主人公的身份一同暴露；她真实的性格是怕麻烦、爱宅在家。
Riddle Joker|《RIDDLE JOKER》中，关于式部茉优，下列描述何者正确？|主人公的同班同学，讨厌咖啡|七海的同班同学，是主人公们的后辈|学院的班主任老师，专门研究星幽能力|学院的学姐，反复留级并刻意不毕业，擅长泡好喝的咖啡|3|茉優是学院的学姐，反复留级、刻意不毕业，在学院内有个人研究室，并以泡得一手好咖啡为傲。
Riddle Joker|二条院羽月在《RIDDLE JOKER》中的身份与特征是？|主人公们的后辈，身材娇小是她的自卑点|主人公们的同班同学兼所住宿舍的寮长，生真面目且喜欢时代剧|橘花学院的理事长|秘密组织的上司，对外经营清洁公司|1|羽月是主人公们的同班同学，也是宿舍寮长，生真面目、责任感强，喜欢时代剧并收集了全套 DVD。
Riddle Joker|《RIDDLE JOKER》中，关于壬生千咲，下列叙述何者正确？|她是主人公们的后辈、七海的同班同学，身材娇小是她的自卑点|她是主人公的义妹，也是组织的支援要员|她是反复留级的学姐，拥有个人研究室|她是学院的班主任，负责研究星幽能力|0|千咲是后辈，与七海同班，沟通能力高且活泼，小小的身材是她的自卑点。
Riddle Joker|《RIDDLE JOKER》中，在原龙之介的对外身份与真实身份分别是什么？|对外是学院理事长，实际是咖啡店老板|对外是学院教师，实际是记者|对外经营清洁公司，实际属于秘密组织，是主人公们的上司|对外是医生，实际是星幽能力研究者|2|龙之介是主人公与七海的养父，对外经营清洁公司，实际属于秘密组织，也是主人公们的上司。
